cio_metric_id,number,section_heading,cio_metric_section_id,text,source_document
CIO-1.1,1.1,Enumerating the Environment,CIO-SEC-1,"For each FIPS 199 impact level (High, Moderate, Low), what is the number of operational unclassified information systems by bureau or component (as defined by the agency) categorized at that level? (NIST SP 800-60, NIST SP 800-53 Rev. 5 RA-2) FIPS 199 1.1.1 1.1.2 1.1.3 1.1.4 Impact Level",USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.1,1.1.1,Enumerating the Environment,CIO-SEC-1,Organization-operated 1 systems,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.1.1,1.1.1.1,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Number of CDM-Reported Organization-operated systems,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.2,1.1.2,Enumerating the Environment,CIO-SEC-1,Contractor-operated 2 systems,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.2.1,1.1.2.1,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Number of CDM-Reported Contractor-operated systems,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.3,1.1.3,Enumerating the Environment,CIO-SEC-1,Systems (from 1.1.1 and 1.1.2) with an Authorization to Operate (ATO),USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.3.1,1.1.3.1,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Number of CDM-Reported Systems (from 1.1.1.1 and 1.1.2.1) with an Authorization to Operate (ATO),USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.3.2,1.1.3.2,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Number of CDM-Reported Systems with an Unknown Authorization Type,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.4,1.1.4,Enumerating the Environment,CIO-SEC-1,Systems (from 1.1.3) that are in ongoing authorization (NIST SP 800-37 Rev. 2),USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.4.1,1.1.4.1,Enumerating the Environment,CIO-SEC-1,[Source: CDM] CDM-Reported Systems (from 1.1.3.1) that are in ongoing authorization,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.5,1.1.5,Enumerating the Environment,CIO-SEC-1,Number of High Value Assets (HVAs) reported to the HVA Program Management Office (PMO) via the CyberScope HVA List. Note: 1.1.5 is the sum of 1.1.5.1 and 1.1.5.2,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.5.1,1.1.5.1,Enumerating the Environment,CIO-SEC-1,Number of Tier 1,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.5.2,1.1.5.2,Enumerating the Environment,CIO-SEC-1,Number of Non-Tier 1,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.5.3,1.1.5.3,Enumerating the Environment,CIO-SEC-1,Number of HVAs pending PMO tier assignment,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.5.4,1.1.5.4,Enumerating the Environment,CIO-SEC-1,[Source: CDM] Number of CDM-Reported of HVAs,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.6,1.1.6,Enumerating the Environment,CIO-SEC-1,Number of systems (from 1.1.1 and 1.1.2) that include Operational Technology (OT) and/or Internet of Things (IoT) devices.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.6.1,1.1.6.1,Enumerating the Environment,CIO-SEC-1,Number of systems (from 1.1.6) that include Internet of Things devices .,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.6.2,1.1.6.2,Enumerating the Environment,CIO-SEC-1,Number of systems (from 1.1.6) that include Operational Technology,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.6.3,1.1.6.3,Enumerating the Environment,CIO-SEC-1,Number of systems (from 1.1.6) that include both IoT and OT devices,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.1.7,1.1.7,Enumerating the Environment,CIO-SEC-1,Number of systems (from 1.1.6.1) that contain a device that received a waiver from meeting the requirements derived from guidance set by NIST 800- 213.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
CIO-1.2,1.2,Enumerating the Environment,CIO-SEC-1,Number of hardware assets operated in an unclassified environment. (Note: 1.2 is the sum of 1.2.1 11 through 1.2.3) (NIST SP 800-53r5 CM-8). 1.2.4 through 1.2.7 will be provided from automation activities observed and captured by CDM.,USA_FISMA_FY25_FISMA_CIO_Metrics_v1_1.txt
