enf_id,node_type,description,severity,penalty_range
ENF-00,EnforcementRoot,Root node for compliance enforcement and penalties,N/A,N/A
E01,ComplianceViolation,General failure to comply with HIPAA requirements,High,N/A
E02,PrivacyViolation,"Improper use or disclosure of PHI (incl. reproductive health)",High,Varies by tier
E03,SecurityViolation,Failure to implement required safeguards,High,Varies by tier
E04,BreachNotificationViolation,"Failure to properly notify individuals, media, or HHS",High,Varies by tier
E05,ViolationTier1_Unknowing,"Tier 1 (45 CFR 160.404(b)(2)(i)): the covered entity or business associate did not know and by exercising reasonable diligence would not have known of the violation",Medium,"Statutory base $100-$50,000 per violation with a $1,500,000 calendar-year cap for identical violations (45 CFR 160.404; 42 USC 1320d-5). Inflation-adjusted under 45 CFR part 102 to $145-$36,506 per violation for penalties assessed on or after January 28, 2026"
E06,ViolationTier2_ReasonableCause,"Tier 2 (45 CFR 160.404(b)(2)(ii)): the violation was due to reasonable cause and not to willful neglect",High,"Statutory base $1,000-$50,000 per violation with a $1,500,000 calendar-year cap for identical violations (45 CFR 160.404; 42 USC 1320d-5). Inflation-adjusted under 45 CFR part 102 to $1,461-$73,011 per violation for penalties assessed on or after January 28, 2026"
E07,ViolationTier3_WillfulNeglectCorrected,"Tier 3 (45 CFR 160.404(b)(2)(iii)): the violation was due to willful neglect and was corrected during the 30-day period beginning on the first date the entity knew or by exercising reasonable diligence would have known of the violation",Critical,"Statutory base $10,000-$50,000 per violation with a $1,500,000 calendar-year cap for identical violations (45 CFR 160.404; 42 USC 1320d-5). Inflation-adjusted under 45 CFR part 102 to $14,602-$73,011 per violation for penalties assessed on or after January 28, 2026"
E08,ViolationTier4_WillfulNeglectUncorrected,"Tier 4 (45 CFR 160.404(b)(2)(iv)): the violation was due to willful neglect and was not corrected during the 30-day period",Critical,"Statutory base minimum $50,000 per violation with a $1,500,000 calendar-year cap for identical violations (45 CFR 160.404; 42 USC 1320d-5). Inflation-adjusted under 45 CFR part 102 to a minimum of $73,011 per violation and a $2,190,294 calendar-year cap for penalties assessed on or after January 28, 2026"
E09,OCRInvestigation,Regulatory investigation initiated by HHS OCR,High,N/A
E10,EnforcementAction,"Official action taken by OCR (e.g. warning letter)",High,N/A
E11,CorrectionPlan,Mandatory Corrective Action Plan (CAP) imposed by OCR,High,N/A
E12,CivilPenalty,"Civil money penalty imposed by the Secretary (HHS OCR) under 45 CFR Part 160 Subpart D; amount determined by the culpability tier and the aggravating/mitigating factors in 45 CFR 160.408",High,"Calculated per violation, subject to the tier ranges and calendar-year cap in 45 CFR 160.404 as adjusted for inflation under 45 CFR part 102"
E13,CriminalPenalty,"Criminal charges under 42 USC 1320d-6 for knowingly obtaining or disclosing individually identifiable health information in violation of HIPAA; prosecuted by the Department of Justice",Critical,"Up to $50,000 and 1 year imprisonment; up to $100,000 and 5 years if the offense is committed under false pretenses; up to $250,000 and 10 years if committed with intent to sell, transfer, or use the information for commercial advantage, personal gain, or malicious harm (42 USC 1320d-6(b))"
E14,PenaltyBasisNote,"SOURCE BASIS NOTE: the tiered civil money penalty scheme in E05-E08 derives from the HITECH Act (42 USC 1320d-5) as implemented by the 2013 HIPAA Omnibus Rule and codified at 45 CFR 160.404, with amounts adjusted annually for inflation under 45 CFR part 102. It is not contained in the 2003 OCR Summary of the HIPAA Privacy Rule, which described the pre-HITECH scheme of $100 per violation up to $25,000 per year for multiple violations of an identical requirement. The current codified tiers supersede that pre-HITECH description",Info,"Authority: 45 CFR 160.404; 42 USC 1320d-5; inflation adjustments at 45 CFR 102.3"
E15,AggravatingAndMitigatingFactors,"Factors the Secretary must consider in determining the penalty amount: the nature and extent of the violation, the nature and extent of the resulting harm, the entity's history of prior compliance, its financial condition, and such other matters as justice may require (45 CFR 160.408)",Info,N/A
E16,AffirmativeDefense,"The Secretary may not impose a civil money penalty for a violation that is punished under 42 USC 1320d-6, or (for violations occurring on or after February 18, 2009) if the entity establishes the violation was not due to willful neglect and was corrected within 30 days of when it knew or should have known of it (45 CFR 160.410)",Info,No penalty
E17,PenaltyWaiver,"For a violation due to reasonable cause and not willful neglect, the Secretary may waive the civil money penalty to the extent that payment would be excessive relative to the violation (45 CFR 160.412)",Info,Discretionary waiver
E18,StateAttorneyGeneralAction,"A State attorney general may bring a civil action in federal district court on behalf of State residents for HIPAA violations, seeking statutory damages and attorney fees (42 USC 1320d-5(d))",High,"Statutory damages of $100 per violation, capped at $25,000 per calendar year for all violations of an identical requirement"
