source_id,target_id,rel_type
GUIDE-1,EVID-001,SUGGESTS_SOURCE_EVIDENCE
GUIDE-1,EVID-002,SUGGESTS_SOURCE_EVIDENCE
GUIDE-1,EVID-003,SUGGESTS_SOURCE_EVIDENCE
GUIDE-1,EVID-004,SUGGESTS_SOURCE_EVIDENCE
GUIDE-1,EVID-005,SUGGESTS_SOURCE_EVIDENCE
GUIDE-1,EVID-006,SUGGESTS_SOURCE_EVIDENCE
GUIDE-1,EVID-007,SUGGESTS_SOURCE_EVIDENCE
GUIDE-1,EVID-008,SUGGESTS_SOURCE_EVIDENCE
GUIDE-2,EVID-009,SUGGESTS_SOURCE_EVIDENCE
GUIDE-2,EVID-010,SUGGESTS_SOURCE_EVIDENCE
GUIDE-3,EVID-011,SUGGESTS_SOURCE_EVIDENCE
GUIDE-3,EVID-012,SUGGESTS_SOURCE_EVIDENCE
GUIDE-3,EVID-013,SUGGESTS_SOURCE_EVIDENCE
GUIDE-3,EVID-014,SUGGESTS_SOURCE_EVIDENCE
GUIDE-3,EVID-015,SUGGESTS_SOURCE_EVIDENCE
GUIDE-3,EVID-016,SUGGESTS_SOURCE_EVIDENCE
GUIDE-3,EVID-017,SUGGESTS_SOURCE_EVIDENCE
GUIDE-3,EVID-018,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-019,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-020,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-021,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-022,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-023,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-024,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-025,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-026,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-027,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-028,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-029,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-030,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-031,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-032,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-033,SUGGESTS_SOURCE_EVIDENCE
GUIDE-5,EVID-034,SUGGESTS_SOURCE_EVIDENCE
GUIDE-7,EVID-035,SUGGESTS_SOURCE_EVIDENCE
GUIDE-7,EVID-036,SUGGESTS_SOURCE_EVIDENCE
GUIDE-7,EVID-037,SUGGESTS_SOURCE_EVIDENCE
GUIDE-7,EVID-038,SUGGESTS_SOURCE_EVIDENCE
GUIDE-7,EVID-039,SUGGESTS_SOURCE_EVIDENCE
GUIDE-8,EVID-040,SUGGESTS_SOURCE_EVIDENCE
GUIDE-8,EVID-041,SUGGESTS_SOURCE_EVIDENCE
