guidanceitem_id,parent_riskarea_id,text,source_document
gi_doc_1,ra_documentation,The medical record should be complete and legible.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_doc_2,ra_documentation,"The documentation of each patient encounter includes the reason for the encounter; any relevant history; physical examination findings; prior diagnostic test results; assessment, clinical impression, or diagnosis; plan of care; and date and legible identity of the observer.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_doc_3,ra_documentation,"If not documented, the rationale for ordering diagnostic and other ancillary services should be easily inferred by an independent reviewer or third party who has appropriate medical training.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_doc_4,ra_documentation,CPT and ICD-9-CM codes used for claims submission should be supported by documentation and the medical record.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_doc_5,ra_documentation,"Appropriate health risk factors should be identified. The patient's progress, his or her response to, and any changes in, treatment; and any revision in diagnosis is documented.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_hcfa_1,ra_hcfa1500,Link the diagnosis code with the reason for the visit or service.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_hcfa_2,ra_hcfa1500,Use modifiers appropriately.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_hcfa_3,ra_hcfa1500,Provide Medicare with all information about a beneficiary's other insurance coverage under the Medicare Secondary Payer (MSP) policy if the practice is aware of a beneficiary's additional coverage.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_abn_1,ra_abn,Be in writing;,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_abn_2,ra_abn,Identify the specific service that may be denied (procedure name and CPT/HCPC code is recommended);,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_abn_3,ra_abn,State the specific reason why the physician believes the service may be denied; and,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
gi_abn_4,ra_abn,Be signed by the patient acknowledging that the required information was provided and the patient assumes responsibility to pay for the service.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
