fine_id,article_reference,contravention,maximum_fine_usd,currency,source_document
FINE_9,9,Failing to comply with general requirements specified under Article 9 of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_10,10,Failure to comply with requirements for lawful Processing specified under Article 10 of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_11,11,Failure to comply with requirements for obtaining consent specified under Article 11 of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_12,12,Failure to comply with requirements for lawful Processing specified under Article 12 of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_14_1,14(1),Failure to comply with the requirements for accountability specified under Article 14(1) of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_14_2,14(2),Failing to implement and maintain technical and organisational measures to protect Personal Data in accordance with Articles 14(2) of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_14_3,14(3),Failure to comply with the requirements for accountability specified under Article 14(3) of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_14_4,14(4),Failure to comply with the requirements for accountability specified under Article 14(4) of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_14_5,14(5),Failure to comply with the requirements for accountability specified under Article 14(5) of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_14_7,14(7),Failing to register with the Commissioner in accordance with Article 14(7) of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_15,15,Failing to maintain records of any Personal Data Processing operations in accordance with Article 15 of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_16,16,Failing to appoint a DPO in accordance with Articles 16(2) and 16(3) of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_19,19,Failure to complete Annual Assessment in accordance with Article 19 of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_20,20,Failing to carry out a data protection impact assessment prior High Risk Processing Activities in accordance with Article 20 of the Law made for the purposes of this Law.,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_22,22,"Failing to comply with the requirements specified under Article 22(1), 22(2), 22(5) or 22(6) of the Law",25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_23,23,Failing to comply with the requirements specified under Article 23 of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_24,24,"Failing to comply with the requirements specified under Article 24(1), 24(3) or 24(6) of the Law",25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_25,25,Failing to comply with the requirements specified under Article 25 of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_26,26,Failing to comply with the requirements specified under Article 26 of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_27,27,Failing to comply with the requirements specified under Article 27 of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_28,28,Failing to comply with the requirements specified under Article 28 of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_29,29,Failing to comply with the requirements specified under Article 29 of the Law,75000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_30,30,Failing to comply with the requirements specified under Article 30 of the Law,75000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_31,31,Failing to comply with the requirements specified under Article 31 of the Law,75000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_32_3,32(3),Failing to comply with the requirements specified under Article 32(3) of the Law,75000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_33,33,Failing to comply with the requirements specified under Article 33 of the Law,100000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_34,34,Failing to comply with the requirements specified under Article 34 of the Law,100000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_35,35,Failing to comply with the requirements specified under Article 35 of the Law,100000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_36,36,Failing to comply with the requirements specified under Article 36 of the Law,100000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_37,37,Failing to comply with the requirements specified under Article 37 of the Law,100000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_38,38,Failing to comply with the requirements specified under Article 38 of the Law,100000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_39,39,Failing to comply with the requirements specified under Article 39 of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_40,40,Failing to comply with the requirements specified under Article 40 of the Law,25000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_41,41,Failing to report Personal Data Breach in accordance with Article 41 of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_42,42,Failing to report Personal Data Breach in accordance with Article 42 of the Law,50000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_59,59,Failing to comply with a direction in accordance with Article 59(4) of the Law,75000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
FINE_65,65,Failing to comply with the requirements specified under Article 65 of the Law,75000,USD,KB 2/UAE/DIFC Data Protection Law.pdf
