formitem_id,form,section,number,text,source_document
A3-F1-SIR-1,A3-F1,Security Incident Reporting,1,Security Incident Reporting (SIR) to RBI (within two to 6 hours):,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F1-SIR-2,A3-F1,Security Incident Reporting,2,Subsequent update(s) RBI (updates to be provided if the earlier reporting was incomplete i.e. investigation underway or new information pertaining to the incident has been discovered or as per request of RBI):,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F1-BI-1,A3-F1,Basic Information,1,"Particulars of Reporting:  Name of the bank  Date and Time of Reporting to RBI, CERT- IN, other agencies (please mention separately time of reporting to each)  Name of Person Reporting  Designation/Department  Contact details (e.g. official email-id, telephone no, mobile no)",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F1-BI-2,A3-F1,Basic Information,2,"Details of Incident:  Date and time of incident detection  Type of incidents and systems affected (i) Outage of Critical IT system(s) (e.g. CBS, Treasury Systems, Trade finance systems, Internet banking systems, ATMs, payment systems such as SWIFT, RTGS, NEFT, NACH, IMPS, etc.) (ii) Cyber Security Incident (e.g. DDOS, Ransom ware/crypto ware, data breach, data destruction, web defacement, etc.)? [Please complete Annex] (iii) Theft or Loss of Information (e.g. sensitive customer or business information stolen or missing or destroyed or corrupted)? (iv) Outage of Infrastructure (e.g. which premises-DC/Central Processing Units, branch, etc., power/utilities supply, telecommunications supply,)? (v) Financial (e.g. liquidity, bank run)? (vi) Unavailability of Staff (e.g. number and percentage on loss of staff /absence of staff from work (vii) Others (e.g. outsourced service providers, business partners, breach of IT Act/any other law and RBI/SEBI regulations. Etc.)?  What actions or responses have been taken by the bank at the time of first reporting/till the time of subsequent reporting?",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F1-BI-3,A3-F1,Basic Information,3,"Impact Assessment(examples are given but not exhaustive):  Business impact including availability of services – Banking Services, Internet banking, Cash Management, Trade Finance, Branches, ATMs, Clearing and Settlement activities, etc.  Impact on stakeholders– affected retail/corporate customers, affected participants including operator(s), settlement institution(s), business partners, and service providers, etc.  Financial and market impact – Trading activities, transaction volumes and values, monetary losses, liquidity impact, bank run, withdrawal of funds, etc.  Regulatory and Legal impact",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F1-BI-4,A3-F1,Basic Information,4,"Chronological order of events:  Date of incident, start time and duration.  Escalations done including approvals sought on interim measures to mitigate the event, and reasons for taking such measures  Stakeholders informed or involved  Channels of communications used (e.g. email, internet, sms, press release, website notice, etc.)  Rationale on the decision/activation of BCP and/or DR",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F1-BI-5,A3-F1,Basic Information,5,"Root Cause Analysis(RCA):  Factors that caused the problem/ Reasons for occurrence, Cause and effects of incident  Interim measures to mitigate/resolve the issue, and reasons for taking such measures, and  Steps identified or to be taken to address the problem in the longer term. List the remedial measures/corrections affected (one time measure) and/or corrective actions taken to prevent future occurrences of similar types of incident",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F1-BI-6,A3-F1,Basic Information,6,Date/target date of resolution_________ (DD/MM/YYYY).   ,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-1,A3-F2,,1,Contact Information: (Please provide if different from what is reported in Basic Information above) Name of bank: Name of the person reporting and Designation: Department Official Email : Telephone/Mobile :,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A3-F2-2,A3-F2,,2,"Is this a ☐New incident ☐Update to reported incident?  For the first update, please indicate “1. If this is an update to a reported incident, please provide the update number for this update. (X.1, X.2, X.3, X.4, etc. where X is the Report No. Update No: Click here to enter text.",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
