section_id,document_id,section_number,heading,level,parent_section_id,source_document
PG-S0,DOC-PG,0,Guidance status statement,1,,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S1,DOC-PG,1,Introduction and scope of FERPA,1,,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S2,DOC-PG,2,"The rights provided by FERPA to a parent include, but are not limited to:",1,,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S2.1,DOC-PG,2.1,Access to Education Records,2,PG-S2,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S2.2,DOC-PG,2.2,Amendment of Education Records,2,PG-S2,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S2.3,DOC-PG,2.3,Disclosure of Education Records,2,PG-S2,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S2.3.1,DOC-PG,2.3.1,School Official,3,PG-S2.3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S2.3.2,DOC-PG,2.3.2,Seeks or Intends to Enroll,3,PG-S2.3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S2.3.3,DOC-PG,2.3.3,Directory Information,3,PG-S2.3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S2.3.4,DOC-PG,2.3.4,Dependent Student,3,PG-S2.3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S2.3.5,DOC-PG,2.3.5,Other Exceptions,3,PG-S2.3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S3,DOC-PG,3,Annual Notification of FERPA Rights,1,,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S4,DOC-PG,4,Complaints of Alleged Violations with FERPA,1,,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-S5,DOC-PG,5,Additional Information,1,,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
ES-S1,DOC-ES,1,Introduction and scope of FERPA,1,,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
ES-S2,DOC-ES,2,"The rights provided by FERPA to an eligible student include, but are not limited to:",1,,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
