profileitem_id,roleprofile_id,profilecomponent_id,text,context_in_manual,source_document
PI-CISO-M-01,RP-01,PC-04,"Defines, maintains and communicates the cybersecurity vision, strategy, policies, and procedures and manages implementation across the organization. Governs cybersecurity related activities across the organization. Manages links/liaisons with external authorities and professional bodies.",Annex B.6 (ISACA use case) - quoted as 'Profile 1 CISO Mission',"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-CISO-K-01,RP-01,PC-08,"Knowledge of cybersecurity and privacy standards, frameworks, policies, regulations, legislations, certifications and best practices",Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-CISO-K-02,RP-01,PC-08,Understanding of ethical cybersecurity organization requirements,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-CISO-K-03,RP-01,PC-08,Knowledge of security controls,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-CISO-K-04,RP-01,PC-08,Knowledge of cybersecurity maturity models,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-CISO-K-05,RP-01,PC-08,"Knowledge of cybersecurity tactics, techniques and procedures",Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-CISO-K-06,RP-01,PC-08,Knowledge of resource management,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-CISO-K-07,RP-01,PC-08,Knowledge of management practices,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-CISO-K-08,RP-01,PC-08,Knowledge of risk management frameworks,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
PI-CISO-S-01,RP-01,PC-07,"For instance, the role profile for a Chief Information Security Officer (CISO) includes as key skills the abilities to influence, lead, communicate, cooperate and collaborate.",Chapter 2 - soft skills discussion,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
