threshold_id,name,value,verbatim_text,clause_id,source_document
THR-1,Security update timeframe,14 days,"be updated, including vulnerability fixes, within 14 days* of release",CL-3-R1d,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-2,Vulnerability severity threshold,CVSS v3 base score of 7 or above,the update addresses vulnerabilities with a CVSS v3 base score of 7 or above,CL-3-R1d-ii,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-3,Single update containing critical or high risk issues,14 days,If such an update covers any ‘critical’ or ‘high risk’ issues then it must be installed within 14 days.,CL-3-R5,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-4,Device unlocking brute-force throttling,no more than 10 guesses in 5 minutes,You should allow no more than 10 guesses in 5 minutes,CL-2-R3a,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-5,Device lockout,no more than 10 unsuccessful attempts,locking devices after no more than 10 unsuccessful attempts,CL-2-R3b,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-6,Device unlocking credential length,at least 6 characters,"If credentials are just to unlock a device, use a minimum password or PIN length of at least 6 characters.",CL-2-R5,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-7,MFA password element length,at least 8 characters,"The password element of the multi-factor authentication approach must have a password length of at least 8 characters, with no maximum length restrictions.",CL-4-MFA-2,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-8,Password brute-force throttling,no more than 10 guesses in 5 minutes,You should allow no more than 10 guesses in 5 minutes,CL-4-PW-2a-ii,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-9,Password lockout,no more than 10 unsuccessful attempts,locking devices after no more than 10 unsuccessful attempts,CL-4-PW-2a-iii,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-10,Minimum password length without deny list,at least 12 characters,"A minimum password length of at least 12 characters, with no maximum length restrictions",CL-4-PW-2b-ii,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-11,Minimum password length with deny list,at least 8 characters,"A minimum password length of at least 8 characters, with no maximum length restrictions and use automatic blocking of common passwords using a deny list",CL-4-PW-2b-iii,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
THR-12,Password composition guidance,a minimum of three words,encouraging people to choose longer passwords by promoting the use of multiple words (a minimum of three) to create a password,CL-4-PW-2c-ii,KB 2/Europe/cyber-essentials-requirements-for-it-infrastructure-v3-3.pdf
