source_id,target_id,rel_type
LGPDPPSO,TRANS-First,HAS_TRANSITORY
LGPDPPSO,TRANS-Second,HAS_TRANSITORY
LGPDPPSO,TRANS-Third,HAS_TRANSITORY
LGPDPPSO,TRANS-Fourth,HAS_TRANSITORY
LGPDPPSO,TRANS-Fifth,HAS_TRANSITORY
LGPDPPSO,TRANS-Sixth,HAS_TRANSITORY
LGPDPPSO,TRANS-Seventh,HAS_TRANSITORY
LGPDPPSO,TRANS-Eighth,HAS_TRANSITORY
LGPDPPSO,TRANS-Ninth,HAS_TRANSITORY
LGPDPPSO,TRANS-Tenth,HAS_TRANSITORY
LGPDPPSO,TRANS-Eleventh,HAS_TRANSITORY
LGPDPPSO,TRANS-Twelfth,HAS_TRANSITORY
LGPDPPSO,TRANS-Thirteenth,HAS_TRANSITORY
LGPDPPSO,TRANS-Fourteenth,HAS_TRANSITORY
LGPDPPSO,TRANS-Fifteenth,HAS_TRANSITORY
LGPDPPSO,TRANS-Sixteenth,HAS_TRANSITORY
LGPDPPSO,TRANS-Seventeenth,HAS_TRANSITORY
LGPDPPSO,TRANS-Eighteenth,HAS_TRANSITORY
LGPDPPSO,TRANS-Nineteenth,HAS_TRANSITORY
LGPDPPSO,TRANS-Twentieth,HAS_TRANSITORY
