breach_id,node_type,description,trigger,timeline
BRCH-00,BreachManagementRoot,Root node for breach assessment and notification,N/A,N/A
BRCH-01,SecurityBreach,"Breach means the acquisition, access, use, or disclosure of PHI in a manner not permitted under 45 CFR Part 164 Subpart E which compromises the security or privacy of the PHI (45 CFR 164.402)",SecurityIncident,"Discovery date: the first day the breach is known, or by exercising reasonable diligence would have been known, to the covered entity or business associate (45 CFR 164.404(a)(2))"
BRCH-02,BreachRiskAssessment,"An impermissible use or disclosure of PHI is presumed to be a breach unless the covered entity or business associate demonstrates a low probability that the PHI has been compromised, based on a risk assessment of at least four factors (45 CFR 164.402(2))",SecurityBreach,Upon discovery and before the notification deadlines in 45 CFR 164.404-410
BRCH-03,AffectedIndividual,Person whose PHI was involved in the breach,BreachRiskAssessment,N/A
BRCH-04,IndividualNotification,"Written notice by first-class mail to the last known address, or by email if the individual has agreed to electronic notice; substitute notice required where contact information is insufficient or out of date (45 CFR 164.404)",BreachDetermination,Without unreasonable delay and in no case later than 60 calendar days after discovery (45 CFR 164.404(b))
BRCH-05,HHSNotification,"Notice to the Secretary of HHS in the manner specified on the HHS website (45 CFR 164.408)",BreachDetermination,"500 or more individuals: contemporaneously with the individual notice (i.e. without unreasonable delay and no later than 60 calendar days after discovery). Fewer than 500 individuals: log the breach and notify the Secretary no later than 60 days after the end of the calendar year in which the breach was discovered"
BRCH-06,MediaNotification,"Notice to prominent media outlets serving the State or jurisdiction, with content meeting 45 CFR 164.404(c)(1) (45 CFR 164.406)",Breach of unsecured PHI involving more than 500 residents of a State or jurisdiction,Without unreasonable delay and in no case later than 60 calendar days after discovery (45 CFR 164.406(b))
BRCH-07,NotificationContent,"Plain-language notice must include: (1) a brief description of what happened including the date of the breach and date of discovery if known; (2) a description of the types of unsecured PHI involved; (3) steps individuals should take to protect themselves from potential harm; (4) a brief description of what the entity is doing to investigate, mitigate harm, and protect against further breaches; and (5) contact procedures including a toll-free number, email address, website, or postal address (45 CFR 164.404(c)(1))",NotificationProcess,N/A
BRCH-08,MitigationActivities,"Mitigation, to the extent practicable, of harmful effects of a use or disclosure of PHI in violation of policies or the Privacy Rule (45 CFR 164.530(f), applied to breach notification by 45 CFR 164.414(a))",SecurityBreach,Post-discovery
BRCH-09,BreachExceptionUnintentionalWorkforceAccess,"Exception 1: unintentional acquisition, access, or use of PHI by a workforce member or person acting under the authority of a covered entity or business associate, if made in good faith and within the scope of authority and does not result in further use or disclosure in a manner not permitted under Subpart E (45 CFR 164.402(1)(i))",SecurityBreach,Excluded from the definition of breach
BRCH-10,BreachExceptionInadvertentDisclosureBetweenAuthorizedPersons,"Exception 2: inadvertent disclosure by a person authorized to access PHI at a covered entity or business associate to another person authorized to access PHI at the same covered entity, business associate, or organized health care arrangement, where the information is not further used or disclosed impermissibly (45 CFR 164.402(1)(ii))",SecurityBreach,Excluded from the definition of breach
BRCH-11,BreachExceptionInabilityToRetain,"Exception 3: a disclosure of PHI where the covered entity or business associate has a good faith belief that the unauthorized person to whom the disclosure was made would not reasonably have been able to retain such information (45 CFR 164.402(1)(iii))",SecurityBreach,Excluded from the definition of breach
BRCH-12,RiskFactorNatureAndExtentOfPHI,"Factor 1: the nature and extent of the PHI involved, including the types of identifiers and the likelihood of re-identification (45 CFR 164.402(2)(i))",BreachRiskAssessment,Part of the 4-factor risk assessment
BRCH-13,RiskFactorUnauthorizedPerson,"Factor 2: the unauthorized person who used the PHI or to whom the disclosure was made (45 CFR 164.402(2)(ii))",BreachRiskAssessment,Part of the 4-factor risk assessment
BRCH-14,RiskFactorWhetherPHIWasAcquiredOrViewed,"Factor 3: whether the PHI was actually acquired or viewed (45 CFR 164.402(2)(iii))",BreachRiskAssessment,Part of the 4-factor risk assessment
BRCH-15,RiskFactorExtentOfMitigation,"Factor 4: the extent to which the risk to the PHI has been mitigated (45 CFR 164.402(2)(iv))",BreachRiskAssessment,Part of the 4-factor risk assessment
BRCH-16,UnsecuredPHI,"PHI that is not rendered unusable, unreadable, or indecipherable to unauthorized persons through use of a technology or methodology specified by the Secretary in guidance (encryption or destruction); only breaches of unsecured PHI trigger notification (45 CFR 164.402)",SecurityBreach,N/A
BRCH-17,SubstituteNotice,"Where there is insufficient or out-of-date contact information: for fewer than 10 individuals, alternative written notice, telephone, or other means; for 10 or more individuals, a conspicuous posting for 90 days on the home page of the entity website or notice in major print or broadcast media where the individuals likely reside, in each case including a toll-free number active for at least 90 days (45 CFR 164.404(d)(1)(ii))",IndividualNotification,Same 60-calendar-day outer limit as individual notice
BRCH-18,BusinessAssociateNotification,"A business associate must notify the covered entity of a breach of unsecured PHI and provide the identification of each individual affected and other information the covered entity must include in its notice to individuals (45 CFR 164.410)",SecurityBreach,Without unreasonable delay and in no case later than 60 calendar days after discovery by the business associate
BRCH-19,LawEnforcementDelay,"Notification must be delayed if a law enforcement official states that it would impede a criminal investigation or cause damage to national security (45 CFR 164.412)",LawEnforcementStatement,"Written statement: for the time period specified; oral statement: no longer than 30 days unless a written statement is provided"
BRCH-20,BurdenOfProofAndDocumentation,"The covered entity or business associate has the burden of demonstrating that all required notifications were made or that the impermissible use or disclosure did not constitute a breach, and must maintain documentation for 6 years (45 CFR 164.414(b) and 164.530(j))",BreachDetermination,Documentation retained 6 years
