disclosureexception_id,name,category,source_document
EXC-SCHOOL-OFFICIAL,School Official,named,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-ENROLL,Seeks or Intends to Enroll,named,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-DIRECTORY,Directory Information,named,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-DEPENDENT,Dependent Student,named,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-AUDIT,Audit or evaluation of Federal- or State-supported education programs,other,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-CHILD-WELFARE,State or local child welfare agency or Tribal organization regarding a child in foster care,other,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
EXC-JUVENILE-JUSTICE,State and local officials or authorities pursuant to a State statute concerning the juvenile justice system,other,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
EXC-STUDIES,"Organizations conducting studies for, or on behalf of, the school",other,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-JUDICIAL,Judicial order or lawfully issued subpoena,other,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-HEALTH-SAFETY,Health or safety emergency,other,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf) | SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-FINANCIAL-AID,Financial aid for which the student has applied or received,other,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-VICTIM-RESULTS,Victim of an alleged perpetrator of a crime of violence or a non-forcible sex offense — final results of a disciplinary hearing,other,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-FINAL-RESULTS,Final results of a disciplinary proceeding disclosed to any third party,other,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
EXC-ALCOHOL-DRUG,Parent notification of a student’s alcohol or controlled substance violation (student under 21),other,"SPPO-23-01 An Eligible Student Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued March 8, 2023 (KB 2/USA/Family Educational Rights and Privacy Act.pdf)"
