role_id,name,description,stated_in,source_document
role_board_d1,Board of directors,"The board of directors is responsible for providing risk oversight of enterprise risk management culture, capabilities, and practices. Therefore, board members must be objective, capable, and inquisitive. They should have technical knowledge and expertise that is relevant to the entity’s operations and environment, and they must commit to the time necessary to fulfill their day-to-day risk oversight responsibilities and accountabilities. In some jurisdictions, the board has legal responsibility for carrying out its oversight role.",Appendix C,COSO Enterprise Risk Management Framework.pdf
role_audit_committee,Audit committee,"Establishes the importance of risk oversight. Regulatory and professional standard-setting bodies often require the use of an audit committee, sometimes named the audit and risk committee. The role and scope of authority of an audit committee can vary depending on the entity’s regulatory jurisdiction, industry norm, or other variables. While management is responsible for ensuring financial statements are reliable, an effective audit committee plays a critical risk oversight role. The board of directors, often through its audit committee, has the authority and responsibility to question senior management on how it is carrying out its enterprise risk management responsibilities.",Appendix C,COSO Enterprise Risk Management Framework.pdf
role_risk_committee,Risk committee,"Establishes the direct oversight of enterprise risk management. The focus of the risk committee is entity-wide risk in non-financial areas that go beyond the authority of the audit committee and its available resources (e.g., operational, obligations, credit, market, technology).",Appendix C,COSO Enterprise Risk Management Framework.pdf
role_comp_committee,Compensation committee,"Establishes and oversees the compensation arrangements for the chief executive officer and other executives, as appropriate, to motivate without providing incentives for undue risk taking. It also oversees that management balances performance measures, incentives, and rewards with the pressures created by the entity’s strategy and business objectives, and helps structure compensation models without unduly emphasizing short-term results over long-term performance.",Appendix C,COSO Enterprise Risk Management Framework.pdf
role_nom_committee,Nomination/governance committee,"Provides input to and oversight of the selection of candidates for directors and management. It regularly assesses and nominates members of the board of directors; makes recommendations regarding the board’s composition, operations, and performance; oversees the succession-planning process for the chief executive officer and other key executives; and develops oversight processes and structures. It also promotes director orientation and training, and evaluates oversight processes and structures (e.g., board/committee evaluations).",Appendix C,COSO Enterprise Risk Management Framework.pdf
role_ceo,Chief Executive Officer,"The chief executive officer (CEO) is accountable to the board of directors and is responsible for overall enterprise risk management culture, capabilities, and practices required to achieve the entity’s strategy and business objectives.",Appendix C,COSO Enterprise Risk Management Framework.pdf
role_cro,Chief Risk Officer,One of the more prominent roles in enterprise risk management is that of chief risk officer (CRO). This position is tasked with overseeing enterprise risk management as a second line of accountability.,Appendix C,COSO Enterprise Risk Management Framework.pdf
role_management,Management,Management comprises the CEO and senior members leading the key operating units and business-enabling functions.,Appendix C,COSO Enterprise Risk Management Framework.pdf
role_erm_committee,Enterprise risk management committee,"In some entities, the CEO establishes an enterprise risk management committee of senior members of management including functional managers, such as the chief financial officer, chief audit executive, chief information officer, and others.",Appendix C,COSO Enterprise Risk Management Framework.pdf
role_first_line,First Line: Core Business,Management is responsible for identifying and managing the performance and risks resulting from practices and systems for which it is accountable.,Appendix C,COSO Enterprise Risk Management Framework.pdf
role_second_line,Second Line: Support Functions,Support functions (also referred to as business-enabling functions) include management and personnel responsible for overseeing performance and enterprise risk management.,Appendix C,COSO Enterprise Risk Management Framework.pdf
role_third_line,Third Line: Assurance Functions,"Assurance functions, most commonly internal audit, often provide the last line of accountability by performing audits or reviews of enterprise risk management practices, identifying issues and improvement opportunities, making recommendations, and keeping the board and executive management up-to-date on matters requiring resolution.",Appendix C,COSO Enterprise Risk Management Framework.pdf
role_external_auditors,External Auditors,"External auditors provide management and the board of directors with a unique, independent, and objective view that can contribute to an entity’s achievement of its strategy and business objectives.",Appendix C,COSO Enterprise Risk Management Framework.pdf
role_3lm_first,First line roles (management),"One model that can help establish role clarity is the Three Lines Model, formerly the Three Lines of Defense, updated July 2020 by The Institute of Internal Auditors.",Principle 16,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
role_3lm_second,Second line roles (management),"One model that can help establish role clarity is the Three Lines Model, formerly the Three Lines of Defense, updated July 2020 by The Institute of Internal Auditors.",Principle 16,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
role_3lm_third,Third line roles (internal audit),"One model that can help establish role clarity is the Three Lines Model, formerly the Three Lines of Defense, updated July 2020 by The Institute of Internal Auditors.",Principle 16,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
role_governing_body,Governing body,Above these three lines is the organization’s governing body.,Principle 16,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
role_cco,Chief compliance officer (CCO),"The role of the compliance and ethics officer is to help management understand the risks; lead the development of the program to mitigate and manage those risks; evaluate how well the program is being executed; and report to leadership on gaps in coverage, execution, or material instances of noncompliance, including those by senior leaders.",Section 1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
