clause_id,section_id,document_id,label,text,source_page,source_document
PG-C0.1,PG-S0,DOC-PG,Guidance status,"Other than statutory and regulatory requirements included in the document, the contents of this guidance do not have the force and effect of law and are not meant to bind the public. This document is intended only to provide clarity to the public regarding existing requirements under the law or agency policies.",1,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C1.1,PG-S1,DOC-PG,Paragraph 1,"The Family Educational Rights and Privacy Act or FERPA (20 U.S.C. § 1232g; 34 CFR Part 99) provides certain rights for parents regarding their children’s education records. FERPA gives these rights to custodial and noncustodial parents alike, unless there is a court order, legally binding document, or State law that specifically provides to the contrary. When a student reaches 18 years of age or attends an institution of postsecondary education at any age, he or she becomes an “eligible student,” and all rights under FERPA transfer from the parent to the student. Given the target audience for this document is parents, this guide is intended to discuss parents’ rights under FERPA. Under FERPA, the term “parent” means a parent of a student and includes a natural parent, a guardian, or an individual acting as a parent in the absence of a parent or a guardian. A companion document discussing eligible students’ rights under FERPA is available on our website at https://studentprivacy.ed.gov/resources/ferpa-general-guidance-students.",1,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C1.2,PG-S1,DOC-PG,Paragraph 2,"FERPA is a Federal law that is administered by the Student Privacy Policy Office (SPPO) in the U.S. Department of Education (Department). FERPA protects “education records,” which are generally defined as records that are directly related to a student and maintained by an educational agency or institution or by a party acting for the agency or institution. An “educational agency or institution,” herein after referred to as a “school,” generally means a school district, a public elementary or secondary school, or an institution of postsecondary education such as a college or university. There are also a few exceptions to the definition of education records, such as law enforcement unit records and sole possession records. More information is available at https://studentprivacy.ed.gov/faq/what-records-are-exempted-ferpa.",1,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C1.3,PG-S1,DOC-PG,Paragraph 3,"FERPA applies to schools that receive funding under any program administered by the Department. Private and faith-based schools at the elementary and secondary levels generally do not receive such funding and are, therefore, generally not subject to FERPA. In addition, the confidentiality of personally identifiable information (PII) in the education records of children with disabilities is further protected by Part B of the Individuals with Disabilities Education Act (IDEA) (20 U.S.C. 1417(c) and 34 CFR §§ 300.610-300.626). These regulations contain confidentiality provisions that are similar to, but broader than, FERPA. The IDEA-FERPA crosswalk contains additional information comparing IDEA and FERPA and is available at https://studentprivacy.ed.gov/resources/ferpaidea-cross-walk.",1,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.0,PG-S2,DOC-PG,Lead-in,"The rights provided by FERPA to a parent include, but are not limited to:",2,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.1.1,PG-S2.1,DOC-PG,"Access to Education Records, paragraph 1","Under FERPA, a school or State educational agency (SEA) must provide a parent with an opportunity to inspect and review their child’s education records within a reasonable period of time, but not more than 45 calendar days following receipt of a request. A school or SEA is generally not required to provide copies of the education records unless circumstances effectively prevent the parent from exercising the right to inspect and review the education records. For example, if a parent who does not live within commuting distance of their child’s school requests that the school provide access to his or her child’s education records, the school would be required to make other arrangements for the parent to inspect and review the requested records, or to provide a copy of the requested records.",2,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.2.1,PG-S2.2,DOC-PG,"Amendment of Education Records, paragraph 1","Under FERPA, a parent has the right to seek amendment or correction of their child’s education records that the parent believes to be inaccurate, misleading, or in violation of the child’s rights of privacy. However, while a school is not required to amend an education record in accordance with a parent’s request, a school is required to consider the request for amendment, to inform the parent of its decision, and, if the request is denied, to advise the parent of his or her right to a hearing on the matter. If, as a result of the hearing, a school decides not to amend the education records, then the parent has the right to insert a statement in the record commenting on the contested information or stating why the parent disagrees with the decision, or both. That statement must remain with the contested part of the education record for as long as the record is maintained and be included whenever the contested part is disclosed.",2,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.2.2,PG-S2.2,DOC-PG,"Amendment of Education Records, paragraph 2","While a parent has the right to seek to amend non-substantive factual errors in the student’s education records, the right is not unlimited, and a school is not required by FERPA to afford a parent the right to seek to change substantive decisions made by school officials, such as substantive decisions made in the context of grades given to a student based on their performance, other evaluations of the student’s performance, or disciplinary decisions. These substantive decisions also include evaluations of whether a student has a disability and is eligible for special education and related services, disagreements about the content of a student’s Individualized Education Program (IEP), or the student’s educational placement under Part B of IDEA. While under FERPA a parent may seek amendment to correct a non-substantive factual error in an IEP, a parent should utilize the Part B of IDEA dispute resolution procedures (State complaints, mediation, or due process hearing procedures) to resolve disputes with a school regarding substantive matters. Each State has resources to help parents to participate effectively in their children’s education and development. State contact information is available at https://sites.ed.gov/idea/contacts/#state.",2,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.1,PG-S2.3,DOC-PG,"Disclosure of Education Records, paragraph 1","Under FERPA, a school generally may not disclose PII from a student’s education records to a third party unless the student’s parent has provided prior written consent. However, there are a number of exceptions to FERPA’s general consent requirement, some of which are described below. Under these exceptions, schools are permitted to disclose PII from education records without consent, but they are not required to do so by FERPA.",2-3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
PG-C2.3.1.1,PG-S2.3.1,DOC-PG,"School Official, paragraph 1","FERPA allows “school officials,” including teachers, within the school to obtain access to PII from education records without consent, provided that the school has determined the officials have a “legitimate educational interest” in the information. The school’s annual notification of rights under FERPA must specify the criteria for determining who constitutes a “school official” and what the school considers to be a “legitimate educational interest.” Typically, a school official has a legitimate educational interest if the official needs to review an education record in order to fulfill his or her professional responsibility.",3,"SPPO-21-04 A Parent Guide to the Family Educational Rights and Privacy Act (FERPA), U.S. Department of Education, Student Privacy Policy Office, issued July 9, 2021 (KB 2/USA/A parent guide to ferpa_508.pdf)"
