kc_id,principle_id,sequence,text,table,source_document
kc_1_1,principle_1,1,"Require the board to oversee compliance risk management and the C&E program, including the approval of its charter",Table 2.1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_1_2,principle_1,2,"Ensure that the board is knowledgeable of and demonstrates oversight of the C&E program (regular part of agendas, monitors compliance metrics, holds regular executive sessions with CCO and others)",Table 2.1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_1_3,principle_1,3,Require that the board includes a member who possesses compliance expertise,Table 2.1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_1_4,principle_1,4,Document evidence of board oversight of the C&E program in minutes,Table 2.1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_1_5,principle_1,5,Provide input or approve appointment/dismissal/reassignment of CCO and ensure independence,Table 2.1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_1_6,principle_1,6,Ensure that sufficient resources are provided for the C&E program,Table 2.1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_1_7,principle_1,7,Receive regular reports from the CCO,Table 2.1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_1_8,principle_1,8,Ensure that the board is informed about material investigations and remediation efforts and provides input,Table 2.1,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_2_1,principle_2,1,Maintain independence of the CCO and the compliance and ethics function,Table 2.2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_2_2,principle_2,2,Ensure that the CCO directly reports to and regularly communicates with the board,Table 2.2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_2_3,principle_2,3,Ensure that the CCO and C&E program have high stature relative to other functional leaders,Table 2.2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_2_4,principle_2,4,Grant sufficient authority to the CCO to manage the program effectively,Table 2.2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_2_5,principle_2,5,Provide sufficient resources for the C&E program to be effective,Table 2.2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_2_6,principle_2,6,"Address C&E program oversight in the charter (including delegation to a designated committee, if applicable)",Table 2.2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_2_7,principle_2,7,Document policies and procedures specific to the operation of the C&E program,Table 2.2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_2_8,principle_2,8,Establish protocol/procedures for escalation of significant compliance risk events,Table 2.2,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_3_1,principle_3,1,Ensure that the board is knowledgeable of and approves a code of conduct/ethics and other key compliance policies,Table 2.3,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_3_2,principle_3,2,Explain expectations relating to ethics and compliance in a code of conduct/ethics,Table 2.3,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_3_3,principle_3,3,Provide and require training on the code of conduct and on ethical decision-making for all staff (including board members),Table 2.3,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_3_4,principle_3,4,Perform ongoing monitoring or assessment of organizational culture,Table 2.3,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_3_5,principle_3,5,"Develop objectively measurable compliance metrics tied to performance evaluations and compensation, where appropriate",Table 2.3,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_3_6,principle_3,6,Adopt meaningful incentives to promote consistent execution of the C&E program,Table 2.3,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_3_7,principle_3,7,"Include references to organizational values, expectations, and importance of ethics in communications from leadership",Table 2.3,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_4_1,principle_4,1,"Actively promote a culture of compliance risk awareness, including setting an ethical and compliant tone by leadership",Table 2.4,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_4_2,principle_4,2,Balance business incentives with material compliance incentives,Table 2.4,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_4_3,principle_4,3,"Incorporate accountability for the management of (1) compliance risks and (2) compliance program implementation into employee performance measurement, promotions, and incentive programs, particularly at senior levels",Table 2.4,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_4_4,principle_4,4,"Protect those who report suspected wrongdoing, with zero tolerance for retaliation",Table 2.4,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
kc_4_5,principle_4,5,Take allegations of wrongdoing seriously and investigate in a timely manner,Table 2.4,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
